,dep,jour,P,cl_age90,pop
7072,03,2020-11-01,22,0,331315.0
7083,03,2020-11-02,440,0,331315.0
7094,03,2020-11-03,345,0,331315.0
7105,03,2020-11-04,307,0,331315.0
7116,03,2020-11-05,255,0,331315.0
7127,03,2020-11-06,295,0,331315.0
7138,03,2020-11-07,128,0,331315.0
7149,03,2020-11-08,12,0,331315.0
7160,03,2020-11-09,339,0,331315.0
7171,03,2020-11-10,286,0,331315.0
7182,03,2020-11-11,23,0,331315.0
7193,03,2020-11-12,304,0,331315.0
7204,03,2020-11-13,239,0,331315.0
7215,03,2020-11-14,66,0,331315.0
7226,03,2020-11-15,7,0,331315.0
7237,03,2020-11-16,170,0,331315.0
7248,03,2020-11-17,130,0,331315.0
7259,03,2020-11-18,97,0,331315.0
7270,03,2020-11-19,108,0,331315.0
7281,03,2020-11-20,94,0,331315.0
7292,03,2020-11-21,65,0,331315.0
7303,03,2020-11-22,14,0,331315.0
7314,03,2020-11-23,135,0,331315.0
